Wavelength_nm,Energy_eV,Counts
452.739,2.73854,335
452.91,2.7375,341
453.08,2.73647,346
453.251,2.73544,338
453.421,2.73442,335
453.592,2.73339,325
453.762,2.73236,334
453.933,2.73133,331
454.103,2.73031,321
454.274,2.72928,336
454.444,2.72826,333
454.615,2.72724,334
454.785,2.72622,316
454.956,2.72519,302
455.126,2.72417,307
455.297,2.72315,321
455.467,2.72213,310
455.638,2.72111,320
455.808,2.7201,294
455.979,2.71908,311
456.149,2.71806,302
456.32,2.71705,307
456.49,2.71603,296
456.661,2.71502,296
456.831,2.71401,300
457.001,2.713,298
457.172,2.71198,295
457.342,2.71097,301
457.513,2.70996,272
457.683,2.70895,282
457.854,2.70794,284
458.024,2.70694,277
458.195,2.70593,277
458.365,2.70492,278
458.536,2.70391,269
458.706,2.70291,270
458.877,2.7019,261
459.047,2.7009,264
459.218,2.6999,261
459.388,2.6989,252
459.559,2.6979,243
459.729,2.6969,257
459.899,2.6959,256
460.07,2.6949,257
460.24,2.6939,248
460.411,2.6929,236
460.581,2.69191,231
460.752,2.69091,238
460.922,2.68992,245
461.093,2.68892,242
461.263,2.68793,244
461.434,2.68693,246
461.604,2.68594,219
461.775,2.68495,222
461.945,2.68396,244
462.115,2.68297,219
462.286,2.68198,231
462.456,2.68099,213
462.627,2.68,218
462.797,2.67902,207
462.968,2.67803,226
463.138,2.67705,215
463.309,2.67606,200
463.479,2.67508,224
463.649,2.6741,208
463.82,2.67311,213
463.99,2.67213,202
464.161,2.67115,211
464.331,2.67017,203
464.502,2.66919,208
464.672,2.66821,198
464.843,2.66723,219
465.013,2.66625,190
465.183,2.66528,198
465.354,2.6643,211
465.524,2.66333,207
465.695,2.66235,206
465.865,2.66138,177
466.036,2.6604,200
466.206,2.65943,201
466.376,2.65846,187
466.547,2.65749,192
466.717,2.65652,189
466.888,2.65554,194
467.058,2.65458,192
467.229,2.65361,192
467.399,2.65264,194
467.569,2.65168,190
467.74,2.65071,183
467.91,2.64974,166
468.081,2.64878,182
468.251,2.64781,176
468.422,2.64685,192
468.592,2.64589,180
468.762,2.64493,187
468.933,2.64396,178
469.103,2.64301,173
469.274,2.64204,174
469.444,2.64109,172
469.614,2.64013,163
469.785,2.63917,171
469.955,2.63821,167
470.126,2.63725,164
470.296,2.6363,183
470.467,2.63534,163
470.637,2.63439,161
470.807,2.63344,171
470.978,2.63248,164
471.148,2.63153,144
471.319,2.63058,175
471.489,2.62963,168
471.659,2.62868,165
471.83,2.62773,165
472,2.62678,157
472.171,2.62583,142
472.341,2.62489,158
472.511,2.62394,155
472.682,2.62299,160
472.852,2.62205,162
473.023,2.6211,148
473.193,2.62016,148
473.363,2.61922,145
473.534,2.61827,150
473.704,2.61733,165
473.875,2.61639,155
474.045,2.61545,136
474.215,2.61451,140
474.386,2.61357,149
474.556,2.61264,144
