Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
2.956069 3505237203061586.500000
2.954864 3396283803173571.000000
2.953668 3440999453832856.500000
2.952465 3569796002914285.500000
2.951264 3264470267497857.000000
2.950070 3295156352113888.500000
2.948870 3297837996031745.500000
2.947672 3216252116284841.000000
2.946481 3050178647617222.500000
2.945284 3080793000598095.500000
2.944088 3026980213502777.500000
2.942901 3156237344159999.500000
2.941707 2947272925268571.500000
2.940514 2808532375553571.500000
2.939329 2782548048438492.000000
2.938138 2813076402690793.500000
2.936955 2886080389916190.500000
2.935766 2704352782114206.500000
2.934578 2834076385777777.500000
2.933398 2836357262285714.000000
2.932212 2725106382034285.500000
2.931026 2556853765714285.500000
2.929849 2615773686793651.000000
2.928666 2489838983347222.000000
2.927483 2506089690189206.500000
2.926309 2907117908179047.500000
2.925129 2567174736700000.000000
2.923949 2483604729820952.000000
2.922777 2571306521657143.000000
2.921600 2759234925446428.500000
2.920430 2847293800871032.000000
2.919254 2563196960422539.500000
2.918080 2622585402883095.500000
2.916913 2595999128751508.000000
2.915740 2425839108015555.500000
2.914568 2456521557442142.500000
2.913404 2487239304512143.000000
2.912234 2618736237000000.000000
2.911065 2649640502211429.000000
2.909903 2507638688413809.000000
2.908736 2625037930724444.500000
2.907577 2728175501759999.500000
2.906411 2499221837672777.000000
2.905247 2587973342593968.500000
2.904090 2358523794422856.500000
2.902928 2461780713035714.000000
2.901766 2753605313685714.500000
2.900612 2378687628779682.000000
2.899452 2540264762347221.500000
2.898300 2353429267315714.000000
2.897142 2442544640853333.000000
2.895985 2619103657728571.000000
2.894836 2315379020822142.500000
2.893681 2317228021714285.500000
2.892526 2625371049728571.000000
2.891380 2481484027346825.000000
2.890227 2176682547347301.000000
2.889083 2105306934902857.250000
2.887932 2297198744543888.500000
2.886782 2050089421511111.000000
2.885640 2491365135342857.000000
2.884492 2244013517732142.250000
2.883352 2260467036972222.000000
2.882206 2130054730636507.500000
2.881061 2102344888737063.250000
2.879923 2089292673923650.750000
2.878780 2076227513873333.000000
2.877638 1974719355686825.250000
2.876503 2035271141687142.500000
2.875362 2110686383928571.250000
2.874229 2053264053936507.750000
2.873090 1921841497343650.500000
2.871953 1997340264042857.000000
2.870822 1702778099346032.000000
2.869686 2030133441066111.250000
2.868558 1957580392208571.500000
2.867423 1914603801154285.750000
2.866290 1723021082071428.500000
2.865164 1828432644101190.500000
2.864032 1978648367102222.500000
2.862908 1875981318759999.750000
2.861778 1966865897427619.250000
2.860649 1789471495466666.750000
2.859528 1955038957997142.500000
2.858401 1657866474713571.500000
2.857281 1689060975066110.750000
2.856156 1780147656944444.000000
2.855038 1826454858158730.000000
2.853914 1977720685610475.750000
2.852791 1859321486210793.250000
2.851676 1455607160137142.750000
2.850555 1892276100090000.000000
2.849441 1653278523189682.250000
2.848322 1609453223964444.000000
2.847204 1836519401384920.500000
2.846093 1551714776204365.000000
2.844976 1688626246542222.000000
2.843867 1674854973574285.750000
2.842752 1615766431790714.000000
2.841638 1375234115839999.750000
2.840532 1648542172491746.000000
2.839419 1680106136951666.750000
2.838314 1696562316808888.750000
2.837204 1515973829365079.250000
2.836101 1759897944000000.000000
2.834992 1563890583233571.500000
2.833884 1701871145280000.000000
2.832784 1566330023323174.750000
