Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
2.762813 14570652858635998.000000
2.761766 13909725465936000.000000
2.760715 14054818573909664.000000
2.759671 13257873465825668.000000
2.758621 14244542625000000.000000
2.757578 13547608296300000.000000
2.756530 13861449381748498.000000
2.755488 13095640207824668.000000
2.754442 12700266875770668.000000
2.753402 13757748004821330.000000
2.752357 13023970801444166.000000
2.751319 12424429025230500.000000
2.750275 12908175002495998.000000
2.749238 13256963773332666.000000
2.748196 12825914977574998.000000
2.747161 13039321000000000.000000
2.746121 12505485793781332.000000
2.745088 12548911696344000.000000
2.744049 11673539707294500.000000
2.743017 12635983682229834.000000
2.741980 11759334429080000.000000
2.740949 12006951757034668.000000
2.739914 11435710736655834.000000
2.738885 11444303618422498.000000
2.737851 11658077770350000.000000
2.736824 11837899049066666.000000
2.735791 11572921087056332.000000
2.734765 11478808680955832.000000
2.733734 11144558883466664.000000
2.732710 11461764030516000.000000
2.731681 11367376794976500.000000
2.730658 11032210101581500.000000
2.729630 11556432556256000.000000
2.728609 11461823877048000.000000
2.727583 11504897101191666.000000
2.726563 10893014867850002.000000
2.725538 10418243084112000.000000
2.724520 10598646748988664.000000
2.723497 11090301664181502.000000
2.722480 10718259717931664.000000
2.721459 11072319309013332.000000
2.720444 10180285710336000.000000
2.719423 10777023310858498.000000
2.718410 10472952813450332.000000
2.717391 10654329719466666.000000
2.716379 10280233924933332.000000
2.715362 10287937266769332.000000
2.714352 10434728128050002.000000
2.713342 10372879062049664.000000
2.712327 10276140014546666.000000
2.711319 10492945532360664.000000
2.710305 9489089247661330.000000
2.709299 9845265238983000.000000
2.708287 9922500171623998.000000
2.707282 9685119621258666.000000
2.706271 9692352712154166.000000
2.705268 9734562592758332.000000
2.704259 9426444304437332.000000
2.703257 9468503749620000.000000
2.702249 9159712399111500.000000
2.701248 9271862521196002.000000
2.700243 9173330961294000.000000
2.699243 8863568050847999.000000
2.698239 8553376216480500.000000
2.697241 9052857272389498.000000
2.696244 9024302515242666.000000
2.695242 9066292009883332.000000
2.694246 8755262114133333.000000
2.693246 8337812697559332.000000
