Processed Data:
Y = y*x^2
Processed Data:
X = 1240/x
2.833884 40206705.807240
2.832784 40812781.714512
2.831677 43145783.417025
2.830578 43179289.499025
2.829474 41868601.170848
2.828377 41708883.280932
2.827274 45203848.522875
2.826172 41196461.092704
2.825078 41613703.230816
2.823977 40103684.485072
2.822884 43800897.884603
2.821786 40165997.215552
2.820695 39424059.507456
2.819598 40615169.456610
2.818509 38323914.274998
2.817413 38160006.036800
2.816319 39352801.430243
2.815232 38607172.611679
2.814140 37666372.528256
2.813054 35363765.383128
2.811964 39280351.719258
2.810880 37753786.411106
2.809791 37004028.853240
2.808702 35473438.950950
2.807621 34720526.746450
2.806535 36113889.641060
2.805455 33992720.738784
2.804370 34605563.092353
2.803293 33066881.645161
2.802209 34267332.761200
2.801133 33509811.797964
2.800051 32947359.782568
2.798977 33953989.344453
2.797897 34962292.945800
2.796818 36168691.643064
2.795746 31868599.169682
2.794668 31499434.368640
2.793598 32508688.143360
2.792522 33716785.780179
2.791454 31769355.488409
2.790379 32386250.870784
2.789312 32213406.203308
2.788240 32238193.076875
2.787175 31273186.641950
2.786104 31693399.096960
2.785034 26761858.132815
2.783971 29956496.742999
2.782902 27398486.063592
2.781841 28611544.248576
2.780774 28036969.393101
2.779714 30247300.179992
2.778649 29872198.140000
2.777591 29097762.755400
2.776528 31114582.699356
2.775471 27944605.701740
2.774409 26767458.282776
2.773354 29386643.659968
2.772294 26008070.671570
2.771241 28630628.770887
2.770182 26849210.880384
2.769130 29075322.633220
2.768073 27291479.206600
2.767023 26910547.082150
2.765968 26931088.131224
2.764913 26549373.777828
2.763866 28984914.807696
2.762813 24373949.252004
2.761766 26408319.362864
2.760715 25016232.102844
2.759671 25035172.229884
2.758621 28893185.750000
2.757578 26286404.157000
2.756530 26104043.361249
2.755488 27338836.516335
2.754442 24724987.641128
2.753402 22715495.477248
2.752357 23747603.902893
2.751319 26609267.612619
2.750275 22970453.154048
2.749238 23191210.283784
2.748196 22394454.722750
2.747161 23633769.312500
2.746121 24467254.813920
2.745088 20608781.810256
2.744049 20828589.798438
2.743017 19618130.999904
2.741980 24950240.006048
2.740949 21285050.842016
2.739914 22734875.673471
2.738885 25211630.060883
